Date,Open,High,Low,Close,Adj Close,Volume
2/13/2002,2.40625,2.515,2.38125,2.5125,1.691666,76216000
2/14/2002,2.54375,2.54875,2.48125,2.5,1.68325,11021600
2/15/2002,2.5,2.50625,2.4625,2.4875,1.674834,8389600
2/19/2002,2.475,2.475,2.34375,2.3875,1.607504,7410400
2/20/2002,2.4,2.46875,2.38125,2.46875,1.66221,6892800
2/21/2002,2.46,2.48125,2.4375,2.4625,1.658002,6976800
2/22/2002,2.48125,2.48125,2.4,2.41875,1.628545,3525600
2/25/2002,2.4125,2.45625,2.385,2.4375,1.641169,3453600
2/26/2002,2.425,2.4625,2.38625,2.4375,1.641169,2761600
2/27/2002,2.41875,2.42,2.375,2.39375,1.611712,4091200
2/28/2002,2.4,2.43125,2.3875,2.3875,1.607504,2751200
3/1/2002,2.38125,2.44375,2.3725,2.42125,1.630228,1913600
3/4/2002,2.43125,2.47625,2.4275,2.4625,1.658002,3180800
3/5/2002,2.45,2.45625,2.395,2.40625,1.620129,3444800
3/6/2002,2.405,2.42875,2.4,2.41875,1.628545,1316800
3/7/2002,2.41875,2.575,2.41875,2.5525,1.718598,2700800
3/8/2002,2.5375,2.625,2.5375,2.6125,1.758996,1600800
3/11/2002,2.6,2.675,2.59375,2.64625,1.781721,5462400
3/12/2002,2.625,2.7375,2.625,2.65,1.784245,5819200
3/13/2002,2.65,2.6875,2.58125,2.6275,1.769096,5063200
3/14/2002,2.6275,2.65,2.605,2.625,1.767413,1696800
3/15/2002,2.625,2.6375,2.4875,2.54375,1.712707,1708000
3/18/2002,2.55,2.55,2.38125,2.4125,1.624336,2207200
3/19/2002,2.43125,2.4375,2.325,2.3375,1.573839,3229600
3/20/2002,2.31875,2.31875,2.125,2.2525,1.516608,9236000
3/21/2002,2.2525,2.40625,2.2525,2.34375,1.578047,4427200
3/22/2002,2.34375,2.44875,2.31375,2.4125,1.624336,2494400
3/25/2002,2.4375,2.47625,2.3975,2.465,1.659684,7571200
3/26/2002,2.5,2.5125,2.4725,2.4975,1.681567,1816800
3/27/2002,2.4975,2.625,2.4875,2.575,1.733748,1369600
3/28/2002,2.5625,2.575,2.5125,2.525,1.700083,1714400
4/1/2002,2.50625,2.50625,2.375,2.38125,1.603296,1880000
4/2/2002,2.375,2.375,2.29375,2.33,1.568789,2098400
4/3/2002,2.33125,2.35,2.305,2.325,1.565423,567200
4/4/2002,2.31875,2.38125,2.31875,2.36875,1.59488,763200
4/5/2002,2.36875,2.425,2.31125,2.31125,1.556165,837600
4/8/2002,2.325,2.325,2.22125,2.2875,1.540174,1558400
4/9/2002,2.275,2.4,2.275,2.36875,1.59488,3562400
4/10/2002,2.3625,2.38125,2.34375,2.365,1.592355,1302400
4/11/2002,2.36375,2.36375,2.3125,2.3125,1.557007,1444000
4/12/2002,2.33125,2.33125,2.2575,2.28125,1.535966,1236000
4/15/2002,2.275,2.32125,2.27375,2.32,1.562056,1559200
4/16/2002,2.34375,2.4,2.34375,2.375,1.599088,1225600
4/17/2002,2.40625,2.53125,2.40625,2.47625,1.667259,3348800
4/18/2002,2.47625,2.51875,2.4675,2.47625,1.667259,984800
4/19/2002,2.47625,2.54375,2.47625,2.53375,1.705975,646400
4/22/2002,2.51875,2.51875,2.47625,2.5,1.68325,772800
4/23/2002,2.49375,2.53125,2.4375,2.44375,1.645377,824800
4/24/2002,2.44,2.45125,2.425,2.42625,1.633595,1064800
4/25/2002,2.42625,2.42625,2.39625,2.425,1.632753,1727200
4/26/2002,2.4125,2.4475,2.40625,2.40625,1.620129,1653600
4/29/2002,2.39375,2.39375,2.35,2.3625,1.590672,2562400
4/30/2002,2.34375,2.4125,2.3375,2.38125,1.603296,6894400
5/1/2002,2.4125,2.5625,2.4125,2.5625,1.725331,1672000
5/2/2002,2.55,2.62375,2.55,2.60375,1.753105,3316000
5/3/2002,2.6,2.60125,2.57,2.6,1.75058,463200
5/6/2002,2.59875,2.82375,2.59875,2.71875,1.830535,2146400
5/7/2002,2.70625,2.75,2.68125,2.6875,1.809493,452800
5/8/2002,2.7125,2.8125,2.7125,2.8,1.88524,658400
5/9/2002,2.8125,2.9,2.8125,2.85625,1.923114,847200
5/10/2002,2.875,2.92875,2.75,2.7575,1.856625,696000
5/13/2002,2.75875,2.75875,2.60625,2.6875,1.809493,1929600
5/14/2002,2.75,2.8,2.6,2.6,1.75058,3958400
5/15/2002,2.5875,2.625,2.48125,2.48125,1.670626,5829600
